105,VLADIMIR:You'll kill him.,POZZO:Up scum! (He jerks the rope.) Help me!,VLADIMIR:How?,"POZZO:Raise him up!Vladimir and Estragon hoist Lucky to his feet, support him an instant, then let himgo. He falls.","VLADIMIR:(advancing with short, stiff strides, legs wide apart). I'm beginning to come roundto that opinion. All my life I've tried to put it from me, saying Vladimir, bereasonable, you haven't yet tried everything. And I resumed the struggle. (Hebroods, musing on the struggle. Turning to Estragon.) So there you are again.",ESTRAGON:He's doing it on purpose!,2
106,ESTRAGON:To hell with him!,"VLADIMIR:Come on, once more.","ESTRAGON:What does he take us for?They raise Lucky, hold him up.","POZZO:Don't let him go! (Vladimir and Estragon totter.) Don't move! (Pozzo fetches bagand basket and brings them towards Lucky.) Hold him tight! (He puts the bag inLucky's hand. Lucky drops it immediately.) Don't let him go! (He puts back thebag in Lucky's hand. Gradually, at the feel of the bag, Lucky recovers his sensesand his fingers finally close round the handle.) Hold him tight! (As before withbasket.) #Now! You can let him go. (Vladimir and Estragon move away from Lucky whototters, reels, sags, but succeeds in remaining on his feet, bag and basket in hishands. Pozzo steps back, cracks his whip.) Forward! (Lucky totters forward.)Back! (Lucky totters back.) Turn! (Lucky turns.) Done it! He can walk. (Turningto Vladimir and Estragon.) Thank you, gentlemen, and let me . . . (he fumbles inhis pockets) . . . let me wish you . . . (fumbles) . . . wish you . . . (fumbles) . . . whathave I done with my watch? (Fumbles.) A genuine half-hunter, gentlemen, withdeadbeat escapement! (Sobbing.) Twas my granpa gave it to me! (He searches onthe ground, Vladimir and Estragon likewise. Pozzo turns over with his foot theremains of Lucky's hat.) Well now isn't that just—",VLADIMIR:You're being asked a question.,VLADIMIR:Perhaps it's in your fob.,2
107,"VLADIMIR:Silence!All listen, bent double. #",ESTRAGON:I hear something.,POZZO:Where?,VLADIMIR:It's the heart.,POZZO:(disappointed). Damnation!,VLADIMIR:What an idea!,1
108,ESTRAGON:Perhaps it has stopped.They straighten up.,POZZO:Which of you smells so bad?,ESTRAGON:He has stinking breath and I have stinking feet.,POZZO:I must go.,ESTRAGON:Good idea.,ESTRAGON:And your half-hunter?,2
109,ESTRAGON:Then adieu.,POZZO:Adieu.,VLADIMIR:Adieu.,POZZO:Adieu.Silence. No one moves.,VLADIMIR:Come in? On our hands and knees.,VLADIMIR:Adieu.,2
110,ESTRAGON:Adieu.Silence.POZZO:And thank you.,VLADIMIR:Thank you.,POZZO:Not at all.,ESTRAGON:Yes yes.,POZZO:No no.,VLADIMIR:He said by the tree. (They look at the tree.) Do you see any others?,1
111,ESTRAGON:No no.Silence.,POZZO:I don't seem to be able . . . (long hesitation) . . . to depart.,"ESTRAGON:Such is life.Pozzo turns, moves away from Lucky towards the wings, paying out the rope as hegoes.",VLADIMIR:You're going the wrong way.,"POZZO:I need a running start. (Having come to the end of the rope, i.e., off stage, hestops, turns and cries.) Stand back! (Vladimir and Estragon stand back, looktowards Pozzo. Crack of whip.) On! On!",VLADIMIR:I'm glad to see you back. I thought you were gone forever.,1
112,VLADIMIR:On!Lucky moves off.,"POZZO:Faster! (He appears, crosses the stage preceded by Lucky. Vladimir and Estragonwave their hats. Exit Lucky.) On! On! (On the point of disappearing in his turn hestops and turns. The rope tautens. Noise of Lucky falling off.) Stool! (Vladimirfetches stool and gives it to Pozzo who throws it to Lucky.) Adieu!",VLADIMIR and ESTRAGON:(waving). Adieu! Adieu!,POZZO:Up! Pig! (Noise of Lucky getting up.) On! (Exit Pozzo.) Faster! On! Adieu! Pig!Yip! Adieu!Long silence.,VLADIMIR:You're my only hope.,VLADIMIR:That passed the time.,2
113,"VLADIMIR:Yes, but not so rapidly.Pause.",ESTRAGON:What do we do now?,VLADIMIR:I don't know.,ESTRAGON:Let's go.,VLADIMIR:We can't.,ESTRAGON:Why it's absolutely certain.,1
114,VLADIMIR:We're waiting for Godot.,ESTRAGON:(despairingly). Ah!Pause.,VLADIMIR:How they've changed!,ESTRAGON:Who?,VLADIMIR:Those two.,ESTRAGON:He said Godot.,1
115,VLADIMIR:Haven't they?,ESTRAGON:What?,VLADIMIR:Changed.,ESTRAGON:Very likely. They all change. Only we can't.,POZZO:But that would surprise me.,VLADIMIR:Likely! It's certain. Didn't you see them?,2
116,VLADIMIR:Yes you do know them.,ESTRAGON:No I don't know them.,"VLADIMIR:We know them, I tell you. You forget everything. (Pause. To himself.) Unlessthey're not the same . . .ESTRAGON:Why didn't they recognize us then?",VLADIMIR:That means nothing. I too pretended not to recognize them. And then nobody everrecognizes us.,ESTRAGON:Forget it. What we need– Ow! (Vladimir does not react.) Ow!,ESTRAGON:What?,1
117,ESTRAGON:Didi! It's the other foot!He goes hobbling towards the mound.,VLADIMIR:Unless they're not the same . . .,BOY:(off). Mister!Estragon halts. Both look towards the voice.,ESTRAGON:Off we go again.,"POZZO:You are severe. (To Vladimir.) What age are you, if it's not a rude question?(Silence.) Sixty? Seventy? (To Estragon.) What age would you say he was?","VLADIMIR:Approach, my child.Enter Boy, timidly. He halts.",2
118,VLADIMIR:Yes.,ESTRAGON:What do you want?,VLADIMIR:Approach!The Boy does not move.,"ESTRAGON:(forcibly). Approach when you're told, can't you?The Boy advances timidly, halts.",VLADIMIR:From a bough? (They go towards the tree.) I wouldn't trust it.,VLADIMIR:What is it?,2
119,VLADIMIR:Obviously . . . (Pause.) Approach.,ESTRAGON:(violently). Will you approach! (The Boy advances timidly.) What kept you solate?,VLADIMIR:You have a message from Mr. Godot?,BOY:Yes Sir.,"VLADIMIR:Well, what is it?","ESTRAGON:That would be too bad, really too bad. (Pause.) Wouldn't it, Didi, be really toobad? (Pause.) When you think of the beauty of the way. (Pause.) And thegoodness of the wayfarers. (Pause. Wheedling.) Wouldn't it, Didi?",1
120,VLADIMIR:(to Estragon). Let him alone.,"ESTRAGON:(violently). You let me alone. (Advancing, to the Boy.) Do you know what time itis?","BOY:(recoiling). It's not my fault, Sir.",ESTRAGON:And whose is it? Mine?,"BOY:I was afraid, Sir.",ESTRAGON:It's inevitable.,1
121,"VLADIMIR:I know what it is, he was afraid of the others.",ESTRAGON:How long have you been here?,"BOY:A good while, Sir.",VLADIMIR:You were afraid of the whip?,BOY:Yes Sir.,VLADIMIR:But to whom? By whom?,1
122,BOY:Yes Sir.,VLADIMIR:The two big men.,BOY:Yes Sir.,VLADIMIR:Do you know them?,ESTRAGON:Repented what?,BOY:No Sir.,2
123,BOY:Yes Sir.,ESTRAGON:That's all a pack of lies. (Shaking the Boy by the arm.) Tell us the truth!,"BOY:(trembling). But it is the truth, Sir!","VLADIMIR:Will you let him alone! What's the matter with you? #(Estragon releases the Boy, moves away, covering his face with his hands.Vladimir and the Boy observe him. Estragon drops his hands. His face isconvulsed.) What's the matter with you?",ESTRAGON:I'm unhappy.,"VLADIMIR:Try and walk.Estragon takes a few limping steps, stops before Lucky and spits on him, thengoes and sits down on the mound.",1
124,ESTRAGON:I'd forgotten.,"VLADIMIR:Extraordinary the tricks that memory plays! (Estragon tries to speak, renounces,limps to his place, sits down and begins to take off his boots. To Boy.) Well?",BOY:Mr. Godot—,"VLADIMIR:I've seen you before, haven't I?","VLADIMIR:He's about to speak.Estragon goes over beside Vladimir. Motionless, side by side, they wait.","BOY:I don't know, Sir.",2
125,BOY:No Sir.,VLADIMIR:It wasn't you came yesterday?,BOY:No Sir.,VLADIMIR:This is your first time?,VLADIMIR:What?,BOY:Yes Sir.Silence.,2
126,BOY:(in a rush). Mr. Godot told me to tell you he won't come this evening but surelytomorrow.Silence.,VLADIMIR:Is that all?,BOY:Yes Sir.Silence.,VLADIMIR:You work for Mr. Godot?,BOY:Yes Sir.,ESTRAGON:Don't let's do anything. It's safer.,1
127,"BOY:I mind the goats, Sir.",VLADIMIR:Is he good to you?,BOY:Yes Sir.,VLADIMIR:He doesn't beat you?,POZZO:He's not pleased.,"BOY:No Sir, not me.",2
128,"BOY:He beats my brother, Sir.","VLADIMIR:Ah, you have a brother?",BOY:Yes Sir.,VLADIMIR:What does he do?,ESTRAGON:Ah! That's better.He puts the bones in his pocket.,"BOY:He minds the sheep, Sir.",2
129,"BOY:I don't know, Sir.",VLADIMIR:He must be fond of you.,"BOY:I don't know, Sir.Silence.",VLADIMIR:Does he give you enough to eat? (The Boy hesitates.) Does he feed you well?,ESTRAGON:Quick! (Pozzo gets up and goes over beside Estragon. Estragon points off.) Look!,"BOY:Fairly well, Sir.",2
130,BOY:Yes Sir.VLADIMIR:Well?,"BOY:I don't know, Sir.",VLADIMIR:You don't know if you're unhappy or not?,BOY:No Sir.,VLADIMIR:You're as bad as myself. (Silence.) Where do you sleep?,VLADIMIR:I don't understand.,1
131,VLADIMIR:With your brother?,BOY:Yes Sir.,VLADIMIR:In the hay?,BOY:Yes Sir.Silence.,ESTRAGON:(looking at the neck). I see nothing.,"VLADIMIR:All right, you may go.",2
132,"VLADIMIR:Tell him . . . (he hesitates) . . . tell him you saw us. (Pause.) You did see us, didn'tyou?","BOY:Yes Sir.He steps back, hesitates, turns and exit running. The light suddenly fails. In amoment it is night. The moon rises at back, mounts in the sky, stands still,shedding a pale light on the scene.","VLADIMIR:At last! (Estragon gets up and goes towards Vladimir, a boot in each hand. Heputs them down at edge of stage, straightens and contemplates the moon.) #What are you doing?",ESTRAGON:Pale for weariness.,ESTRAGON:Unforgettable.,VLADIMIR:Eh?,2
133,"VLADIMIR:Your boots, what are you doing with your boots?","ESTRAGON:(turning to look at the boots). I'm leaving them there. (Pause.) Another will come,just as . . . as . . . as me, but with smaller feet, and they'll make him happy.",VLADIMIR:But you can't go barefoot!,ESTRAGON:Christ did.,VLADIMIR:Christ! What has Christ got to do with it. You're not going to compare yourself toChrist!,"VLADIMIR:STOP IT!Exit Vladimir hurriedly. Estragon gets up and follows him as far as the limit ofthe stage. Gestures of Estragon like those of a spectator encouraging a pugilist.Enter Vladimir. He brushes past Estragon, crosses the stage with bowed head.Estragon takes a step towards him, halts.",1
134,"VLADIMIR:But where he lived it was warm, it was dry!",ESTRAGON:Yes. And they crucified quick.Silence.,VLADIMIR:We've nothing more to do here.,ESTRAGON:Nor anywhere else.,VLADIMIR:How do I know? (They close in on him.) Careful!,"VLADIMIR:Ah Gogo, don't go on like that. Tomorrow everything will be better.",2
135,VLADIMIR:Did you not hear what the child said?,ESTRAGON:No.,VLADIMIR:He said that Godot was sure to come tomorrow. (Pause.) What do you say to that?,ESTRAGON:Then all we have to do is to wait on here.,"VLADIMIR:Are you mad? We must take cover. (He takes Estragon by the arm.) Come on.He draws Estragon after him. Estragon yields, then resists. They halt.",ESTRAGON:What is it?,1
136,VLADIMIR:Come on. It's cold.He draws Estragon after him. As before.,ESTRAGON:Remind me to bring a bit of rope tomorrow.,VLADIMIR:Yes. Come on.He draws him after him. As before.,ESTRAGON:How long have we been together all the time now?,VLADIMIR:Let's wait till we know exactly how we stand.,VLADIMIR:I don't know. Fifty years maybe.,2
137,VLADIMIR:We were grape harvesting.,ESTRAGON:You fished me out.,VLADIMIR:That's all dead and buried.,ESTRAGON:My clothes dried in the sun.,VLADIMIR:We'll come back tomorrow.,VLADIMIR:There's no good harking back on that. Come on.He draws him after him. As before.,2
138,VLADIMIR:I'm cold!,"ESTRAGON:Wait! (He moves away from Vladimir.) I sometimes wonder if we wouldn't havebeen better off alone, each one for himself. (He crosses the stage and sits down onthe mound.) We weren't made for the same road.",VLADIMIR:(without anger). It's not certain.,"ESTRAGON:No, nothing is certain.Vladimir slowly crosses the stage and sits down beside Estragon. #",ESTRAGON:Pah! The wind in the reeds.,"VLADIMIR:We can still part, if you think it would be better.",2
