id,inputSetence1,inputSetence2,inputSetence3,inputSetence4,randomFifthSentence1,randomFifthSentence2,answerRightEnd
31,"ROGER
Nothing
Your hair in the moonlight
You look familiar","(He lights her candle. MIMI starts to leave, but stumbles)",Can you make it?,"MIMI
Just haven't eaten much today
At least the room stopped spinning
Anyway, What?","ROGER
Nothing
Your smile reminded me of ","MAUREEN
And wipe the speakers off before you pack",1
32,"MIMI
I always remind people of who is she?","ROGER
She died, Her name was April",(MIMI discreetly blows out the candle),"MIMI
It's out again
Sorry about your friend
Would you light my candle?","(ROGER lights the candle. They linger, awkwardly)","MARK
And we're hungry and frozen",1
33,"ROGER
Well-","MIMI
Yeah. Ow!","ROGER
Oh, the wax it's --","MIMI
Dripping! I like it -- between my --","ALL
Cause Santy Claus ain't coming
No room at the Holiday Inn again
Well, maybe next year 
Or -- when","ROGER
Fingers. I figured...
Oh, well. Goodnight",2
34,"(MIMI exits. ROGER heads back toward his guitar on the table. There is
another knock, which he answers)",It blew out again?,"MIMI
No - I think that I dropped my stash","ROGER
I know I've seen you out and about
When I used to go out
Your candle's out",You heard?,"MIMI
I'm illin'
I had it when I walked in the door
It was pure 
Is it on the floor?",2
35,"ROGER
The floor?","(MIMI gets down on all fours and starts searching the floor for her stash.
She looks back at ROGER, who is staring at her again)","MIMI
They say I have the best ass below 14th street
Is it true?","ROGER
What?","(Without answering, the FIRST OFFICER raises his nightstick again)","MIMI
You're staring again",2
36,"ROGER
Oh no
I mean you do - have a nice-
I mean , You look familiar","MIMI
Like your dead girlfriend?","ROGER
Only when you smile
But I'm sure I've seen you somewhere else","MIMI
Do you go to the Cat Scratch Club?
That's where I work - I dance - help me look","ROGER
Yes!
They used to tie you up-","MARK
Back at N.Y.U.?",1
37,"MIMI
It's a living",(MIMI douses the flame again),"ROGER
I didn't recognize you
Without the handcuffs","MIMI
We could light the candle
Oh won't you light the candle?",(ROGER lights it again.),"MIMI
I was in a tunnel. Heading for this warm, white light",1
38,"ROGER
Why don't you forget that stuff
You look like you're sixteen","MIMI
I'm nineteen but I'm old for my age
I'm just born to be bad","ROGER
I once was born to be bad
I used to shiver like that","MIMI
I have no heat - I told you","ROGER
I used to sweat","BENNY
(On cellular phone)
Alison baby -- you sound sad
I don't believe those two after everything I've done
Ever since our wedding I'm dirt -- They'll see
I can help them all out in the long run",1
39,"MIMI
I got a cold","ROGER
Uh huh
I used to be a junkie","MIMI
But now and then I like to ","ROGER
Uh huh","MIMI
Feel good","ROGER
No",1
40,"ROGER
Here it - um ",(ROGER stoops and picks up a small object: MIMI's stash),"MIMI
What's that?","ROGER
It's a candy bar wrapper",(ROGER puts it behind his back and into his pocket),"ROGER
No",1
41,"MIMI
We could light the candle",(ROGER discreetly blows out the candle),"MIMI
What'd you do with my candle?","ROGER
That was my last match","MIMI'S VOICE
Slipped","MIMI
Our eyes'll adjust, thank God for the moon",2
42,"ROGER
Maybe it's not the moon at all
I hear Spike Lee's shooting down the street","MIMI
Bah humbug ... Bah humbug","(MIMI places her hand under his, pretending to do it by accident)","ROGER
Cold hands","MIMI
Yours too
Big. Like my father's
You wanna dance?",(BENNY exits. Lights on MIMI and ROGER),1
43,"ROGER
With you?","MIMI
No -- with my father","ROGER
I'm Roger","MIMI
They call me
They call me Mimi","(They come extremely close to a kiss. MIMI reaches into his pocket, nabs
the stash, waves it in front of his face, and makes a sexy exit)","COLLINS
She's drenched",1
44,"""VOICE MAIL #2""","(JOANNE's loft. In blackout another phone rings. We see MAUREEN in
silhouette)","MAUREEN
Hi. You've reached Maureen and Joanne. Leave a message and don't forget
""Over the Moon"" -- My performance, protesting the eviction of the Homeless
(and artists) from the Eleventh Street Lot. Tonight at midnight in the lot
between A and B. Party at Life Cafe to follow (BEEP)","MR. JEFFERSON
Well, Joanne -- We're off
I tried you at the office
And they said you're stage managing or something","MRS. JEFFERSON
Remind her that those unwed mothers in Harlem
Need her legal help too","(MIMI makes her way to ROGER's door and ends the song in front of
him.)",1
45,"MR. JEFFERSON
Call Daisy for our itinerary or Alfred at Pound Ridge
Or Eileen at the state department in a pinch
We'll be at the spa for new year's
Unless the senator changes his mind","MRS. JEFFERSON
The hearings","MR. JEFFERSON
Oh yes Kitten
Mummy's confirmation hearing begins on the tenth
We'll need you alone - by the sixth","MRS. JEFFERSON
Harold!","(Lights go down on the loft and go up on JOANNE JEFFERSON, who's
at the pay phone)","MR. JEFFERSON
You hear that?
It's three weeks away
And she's already nervous",2
46,"MRS. JEFFERSON
I am not!","MR. JEFFERSON
For Mummy's sake, Kitten
No Doc Martens this time and wear a dress
Oh, and Kitten -- have a merry","MRS. JEFFERSON
And a bra","""TODAY 4 U (The loft)""","ALL
Wine and beer!",(MARK and ROGER's loft),2
47,"MARK
Enter Tom Collins, computer genius, teacher, vagabond anarchist, who ran
naked through the Parthenon","(COLLINS carries ANGEL's pickle tub, now filled with provisions)","MARK & COLLINS
Bustelo - Marlboro
Banana by the bunch
A box of Captain Crunch will taste so good","COLLINS
And firewood","ROGER
Oh no","MARK
Look - it's Santa Claus",2
48,"COLLINS
Hold your applause","ROGER
Oh hi","COLLINS
'Oh hi' after seven months?","ROGER
Sorry","COLLINS
This boy could use some Stoli","MAUREEN
Then a little bulldog entered. His name (we have learned) was Benny 
And although he once had principles, 
He abandoned them to live as a lap dog to a wealthy daughter of the
revolution
""That's bull,"" he said 
""Ever since the cat took up the fiddle, that cow's been jumpy 
And the dish and the spoon were evicted from the table and eloped ... 
She's had trouble with that milk and the moon ever since 
Maybe it's a female thing 
'Cause who'd want to leave Cyberland anyway?... 
Walls ain't so bad 
The dish and the spoon for instance 
They were down on their luck - knocked on my doghouse door
I said, ""Not in my backyard, utensils! Go back to China!"" 
""The only way out is up,"" Elsie whispered to me 
""A leap of faith. Still thirsty?"" she asked
Parched. ""Have some milk"" 
I lowered myself beneath her and held my mouth to her swollen udder 
And sucked the sweetest milk I'd ever tasted",1
49,"COLLINS, MARK & ROGER
Oh holy night","ROGER
You struck gold at MIT?","COLLINS
They expelled me for my theory of Actual Reality
Which I'll soon impart
To the couch potatoes at New York University
Still haven't left the house?","ROGER
I was waiting for you, don't you know?","COLLINS
Well, tonight's the night
Come to the Life Cafe after Maureen's show","VENDOR #1
No one's buying
Feel like crying",1
50,"ROGER
No flow","COLLINS
Gentlemen, our benefactor on this Christmas Eve
Whose charity is only matched by talent, I believe
A new member of the Alphabet City avant-garde
Angel Dumott Schunard!","(ANGEL sashays in. He's gorgeously done up in Santa drag, with a fan of
twenty-dollar bills in each hand)","ANGEL
Today for you - tomorrow for me
Today for you - tomorrow for me","MARK
Anything but that","COLLINS
And you should hear her beat!",2
51,"MARK
You earned this on the street?","ANGEL
It was my lucky day today on Avenue A
When a lady in a limousine drove my way
She said, ""Dahling be a dear haven't slept in a year
I need your help to make my neighbor's yappy dog disappear""
""This Akita-Evita just won't shut up
I believe if you play non-stop that pup
Will breathe its very last high-strung breath
I'm certain that cur will bark itself to death""
Today for you - tomorrow for me
Today for you - tomorrow for me
We agreed on a fee - A thousand dollar guarantee
Tax-free - and a bonus if I trim her tree
Now who could foretell that it would go so well
But sure as I am here that dog is now in doggy hell
After an hour - Evita - in all her glory
On the window ledge of that 23rd story
Like Thelma & Louise did when they got the blues
Swan dove into the courtyard of the Gracie Mews
Today for you - tomorrow for me
Today for you - tomorrow for me",(ANGEL does a fabulous drum and dance solo),"Then back to the street where I met my sweet
Where he was moaning and groaning on the cold concrete
The nurse took him home for some mercurochrome
And I dressed his wounds and got him back on his feet
Sing it!
Today for you - tomorrow for me
Today for you - tomorrow for me
Today for you - tomorrow for me
Today for you - tomorrow for me","""YOU'LL SEE""","COLLINS
Ughhhhh--
Ughhhhh--
Ughhhhh-- I can't think
Ughhhhh--
Ughhhhh--
Ughhhhh-- I need a drink",1
52,(BENNY enters),"BENNY
Joy to the world 
Hey, you bum yeah, you, move over
Get your ass off that range rover","MARK
That attitude toward the homeless is just what
Maureen is protesting tonight.",(Holding camera up to BENNY),"Just slip me on
I'll be your tenant
Wherever whatever I'll be your coat","Close up: Benjamin Coffin the third, our ex-roommate who married Alison
Grey, of the Westport Greys - then bought the building and the lot next door
from his father-in-law in hopes of starting a cyber-studio",2
53,"BENNY
Maureen is protesting
Losing her performance space
Not my attitude","ROGER
What happened to Benny
What happened to his heart
And the ideals he once pursued?","BENNY
The owner of that lot next door
Has a right to do with it as he pleases","COLLINS
Happy birthday, Jesus!",(Blackout),"BENNY
The rent",2
54,"MARK
You're wasting your time","ROGER
We're broke","MARK
And you broke your word - this is absurd","BENNY
There is one way you won't have to pay","BENNY
Does your boyfriend know
Who your last boyfriend was?","ROGER
I knew it!",2
55,"BENNY
Next door, the home of Cyberarts, you see
And now that the block is re-zoned
Our dream can become a reality
You'll see boys
You'll see boys
A state of the art, digital, virtual interactive studio
I'll forego your rent and on paper guarantee
That you can stay here for free
If you do me one small favor","MARK
What?","BENNY
Convince Maureen to cancel her protest","MARK
Why not just get an injunction or call the cops","BENNY
I did, and they're on stand by
But my investors would rather
I handle this quietly","ANGEL
You'll be my king
And I'll be your castle",1
56,"ROGER
You can't quietly wipe out an entire tent city
Then watch 'It's a Wonderful Life' on TV!","BENNY
You want to produce films and write songs?
You need somewhere to do it!
It's what we used to dream about
Think twice before you pooh-pooh it
You'll see boys
You'll see boys
You'll see - the beauty of a studio
That lets us do our work and get paid
With condos on the top
Whose rent keeps open our shop
Just stop the protest
And you'll have it made
You'll see - or you'll pack",(BENNY exits),"ANGEL
That boy could use some prozac","ROGER
Or heavy drugs","ALL THREE
He/You/I
Just
Need(s)
To take it slow
I should tell you I should tell you
I should tell you I should tell you
I should tell you I",1
57,"MARK
Or group hugs","COLLINS
Which reminds me 
We have a detour to make tonight
Anyone who wants to can come along","ANGEL
Life support's a group for people coping with life
You don't have to stay too long","MARK
First I've got a protest to save","COMPANY
Five hundred twenty-five thousand six hundred minutes
Five hundred twenty-five thousand six hundred moments so dear
Five hundred twenty-five thousand six hundred minutes
How do you measure - measure a year?
In daylights - In sunsets
In midnights - In cups of coffee
In inches - In miles
In laughter - In strife
In Five hundred twenty-five thousand six hundred minutes
How do you measure a year in the life?
How about love?
How about love?
How about love?
Measure in love
Seasons of love
Seasons of love","ANGEL
Roger?",2
58,"ROGER
I'm not much company you'll find","MARK
Behave ","ANGEL
He'll catch up later - He's just go other things on his mind
You'll see boys","MARK & COLLINS
We'll see boys","ROGER
Let it be boys!","
Act II",1
59,"COLLINS
I like boys","ANGEL
Boys like me","ALL
We'll see",TANGO: MAUREEN ,"JOANNE
What?","(The lot. JOANNE is reexamining the cable connections for the
umpteenth time)",2
60,"MARK
And so into the abyss...The lot. Where a small stage is partially set up","JOANNE
(playing with some wires)
""Line in""...
I went to Harvard for this?","MARK
Close on Mark's nose dive","JOANNE
""Line out""...","MARK
Will he get out of here alive...?","MIMI
I gave a mile",1
61,(JOANNE notices MARK approaching),"JOANNE
Mark?","MARK
Hi","JOANNE
I told her not to call you","MARK
That's Maureen
But can I help since I'm here",(into cellular phone),1
62,"JOANNE
I hired an engineer ","MARK
Great!
Well, nice to have met you","JOANNE
Wait!
She's three hours late
The samples won't delay
But the cable","MARK
There's another way
Say something - anything","JOANNE (into the mike)
Test - one, two three ","ROGER
Are you talking to me?",1
63,"MARK
Anything but that","JOANNE
This is weird","MARK
It's weird","JOANNE
Very weird","MIMI
Forget it","MARK
Fuckin' weird",2
64,"JOANNE
I'm so mad
That I don't know what to do
Fighting with microphones
Freezing down to my bones
And to top it all off
I'm with you","MARK
Feel like going insane?
Got a fire in your brain?
And you're thinking of drinking gasoline?","JOANNE
As a matter of fact","MARK
Honey, I know this act
It's called the 'Tango Maureen'
The Tango Maureen
It's a dark, dizzy merry-go-round
As she keeps you dangling","JOANNE
You're wrong","JOANNE
I feel lousy",1
65,"MARK
Your heart she is mangling","JOANNE
It's different with me","MARK
And you toss and you turn
'Cause her cold eyes can burn
Yet you yearn and you churn and rebound","JOANNE
I think I know what you mean","MARK
Don't breathe too deep
Don't think all day
Dive into work
Drive the other way
That drip of hurt
That pint of shame
Goes away
Just play the game
You're living in America
At the end of the millennium
You're living in America
Leave your conscience at the tone
And when you're living in America
At the end of the millennium
You're what you own","BOTH
The Tango Maureen",2
66,"MARK
Has she ever pouted her lips
And called you 'Pookie'","JOANNE
Never","MARK
Have you ever doubted a kiss or two?","JOANNE
This is spooky
Did you swoon when she walked through the door?","ANGEL
Fifteen","MARK
Every time - so be cautious",2
67,"JOANNE
Did she moon over other boys?","MARK
More than moon ","JOANNE
I'm getting nauseous","(They begin to dance, with MARK leading)","""YOU OKAY HONEY? (The street)""","MARK
Where'd you learn to tango?",2
68,"JOANNE
With the French Ambassador's daughter in her dorm room at Miss Porter's
And you?","MARK
With Nanette Himmelfarb. The Rabbi's daughter at the Scarsdale Jewish
Community Center","(They switch, and JOANNE leads)",It's hard to do this backwards,"MARK
Friendship is thicker than blood","JOANNE
You should try it in heels!
She cheated",2
69,"MARK
She cheated","JOANNE
Maureen cheated","MARK
Fuckin' cheated","JOANNE
I'm defeated
I should give up right now",(JOANNE presses the call-waiting as she speaks into the pay phone),"MARK
Gotta look on the bright side
With all of your might",2
70,"JOANNE
I'd fall for her still anyhow","BOTH
When you're dancing her dance
You don't stand a chance
Her grip of romance
Make you fall","MARK
So you think, 'Might as well'","JOANNE
""Dance a tango to hell""","(The pay phone rings. JOANNE answers it and begins a conversation
with MAUREEN simultaneously juggling two other calls on her cellular
phone)","BOTH
At least I'll have tangoed at all
The Tango Maureen
Gotta dance till your diva is through
You pretend to believe her
Cause in the end you can't leave her
But the end it will come
Still you have to play dumb
Till you're glum and you bum
And turn blue",2
71,"MARK
Why do we love when she's mean?","JOANNE
And she can be so obscene","MARK
Try the mike","JOANNE
My Maureen (reverb: een, een, een...)","MARK
Patched","COLLINS
I may be detained",1
72,"JOANNE
Thanks","MARK
You know I feel great now!","JOANNE
I feel lousy",(The pay phone rings. MARK hands it to JOANNE),"ROGER
Control your temper
She doesn't see
Who says that there's a soul?
Just let me be
Who do you think you are?
Barging in on me and my guitar
Little girl, hey
The door is that way
The fire's out anyway","Honey, we're... (pause) Pookie?! 
You never call me Pookie... 
Forget it, we're patched",2
73,"(She hangs up, looks at MARK)","BOTH
The Tango Maureen",LIFE SUPPORT ,"(ANGEL and COLLINS attend an AIDS Life Support group. PAUL, the
support leader, sits on the downstage railing above. GORDON, one of
the members of the group, is standing downstage left, facing the
audience. As the mebers enter, they introduce themselves and form a
semicircle. Note: The names of the support group members should
change every night and should honor actual friends of the compnay who
have died of AIDS)","ROGER
To screen tonight","STEVE
Steve",2
74,"GORDON
Gordon","ALI
Ali","PAM
Pam","SUE
Sue","COLLINS
I'll cover you","ANGEL
Hi, I'm Angel",2
75,"COLLINS
Tom. Collins","PAUL
I'm Paul. Let's begin","ALL
There's only us
There's only this..",(MARK blusters in noisily),"MR. JEFFERSON
For Mummy's sake, Kitten
No Doc Martens this time and wear a dress
Oh, and Kitten -- have a merry","MARK
Sorry ... Excuse me ... oops",2
76,"PAUL
And you are?","MARK
Oh - I'm not 
I'm just here to
I don't have 
I'm here with 
Um - Mark
Mark - I'm Mark
Well - this is quite an operation","PAUL
Sit down Mark
We'll continue the affirmation","ALL
Forget regret or life is yours to miss","(In blackout, once again the phone rings)","GORDON
Excuse me Paul - I'm having a problem with this
This credo - My T-cells are low 
I regret that news, okay?",2
77,"PAUL
Alright
But Gordon - How do you feel today?","GORDON
What do you mean?","PAUL
How do you feel today?","GORDON
Okay","PAUL
Is that all?",(MAUREEN and JOANNE look at each other),1
78,"GORDON
Best I've felt all year","PAUL
Then why choose fear?","GORDON
I'm a New Yorker
Fear's my life
Look - I find some of what you teach suspect
Because I'm used to relying on intellect
But I try to open up to what I don't know","GORDON & ROGER (who sings from his loft)
Because reason says I should have died
Three years ago","ANGEL
That boy could use some prozac","ALL
No other road
No other way
No day but today",2
79,OUT TONIGHT (Mimi's apartment) ,"MIMI
What's the time?
Well it's gotta be close to midnight
My body's talking to me
It says, ""Time for danger""
It says ""I wanna commit a crime
Wanna be the cause of a fight
Wanna put on a tight skirt and flirt
With a stranger""
I've had a knack from way back
At breaking the rules once I learn the games
Get up - life's too quick
I know someplace sick
Where this chick'll dance in the flames
We don't need any money
I always get in for free
You can get in too
If you get in with me
Let's go out tonight
I have to go out tonight
You wanna play?
Let's run away
We won't be back before it's Christmas day
Take me out tonight (meow)
When I get a wink from the doorman
Do you know how lucky you'll be?
That you're on line with the feline of Avenue B
Let's go out tonight
I have to go out tonight
You wanna prowl
Be my night owl?
Well take my hand we're gonna howl
Out tonight
In the evening I've got to roam
Can't sleep in the city of neon and chrome
Feels too damn much like home
When the Spanish babies cry
So let's find a bar
So dark we forget who we are
And all the scars from the
Nevers and maybes die
Let's go out tonight
Have to go out tonight
You're sweet
Wanna hit the street?
Wanna wail at the moon like a cat in heat?
Just take me out tonight","(MIMI makes her way to ROGER's door and ends the song in front of
him.)","Please take me out tonight
Don't forsake me - out tonight
I'll let you make me - out tonight
Tonight - tonight - tonight","Honeybear - what?
Newt's lesbian sister
I'll tell them",ANOTHER DAY ,2
80,"(The loft - MIMI plants a huge kiss on ROGER, who recoils)","ROGER
Who do you think you are?
Barging in on me and my guitar
Little girl hey
The door is that way
You better go you know
The fire's out anyway
Take your powder take your candle
Your sweet whisper
I just can't handle
Well take your hair in the moonlight
Your brown eyes goodbye, goodnight
I should tell you I should tell you
I should tell you I should no!
Another time another place
Our temperature would climb
There'd be a long embrace
We'd do another dance
It'd be another play
Looking for romance?
Come back another day
Another day","MIMI
The heart may freeze or it can burn
The pain will ease if I can learn
There is no future
There is no past
I live this moment as my last
There's only us
There's only this
Forget regret
Or life is yours to miss
No other road
No other way
No day but today","ROGER
Excuse me if I'm off track
But if you're so wise
Then tell me why do you need smack?
Take your needle
Take your fancy prayer
And don't forget
Get the moonlight out of your hair
Long ago you might've lit up my heart
But the fire's dead ain't never ever gonna start
Another time another place
The words would only rhyme
We'd be in outer space
It'd be another song
We'd sing another way
You wanna prove me wrong?
Come back another day
Another day",(The PRINCIPALS emerge from the church),"MIMI
There's only yes
Only tonight
We must let go
To know what's right
No other course
No other way
No day but today",2
81,(Lights slowly fade up on the Life Support group),"MIMI & OTHERS
I can't control
My destiny
I trust my soul
My only goal is just
To be
There's only now
There's only here
Give in to love
Or live in fear
No other path
No other way
No day but today","ROGER
Control your temper
She doesn't see
Who says that there's a soul?
Just let me be
Who do you think you are?
Barging in on me and my guitar
Little girl, hey
The door is that way
The fire's out anyway","ALL
No day but today
No day but today
No day but today
No day but today
No day but today","ROGER
Take your powder, take your candle
Take your brown eyes, your pretty smile, your silhouette
Another time, another place
Another rhyme, a warm embrace
Another dance, another way
Another chance, another day","ALL
Anarchy",1
82,"(MIMI and the Life Support group members exit. One person, STEVE,
remains at stage right, above)",WILL I? ,(Various locations),"STEVE
Will I lose my dignity
Will someone care
Will I wake tomorrow
From this nightmare?","GROUP #1
Will I lose my dignity
Will someone care
Will I wake tomorrow
From this nightmare?","MIMI & ANGEL
More",1
83,"GROUP #2
Will I lose my dignity
Will someone care
Will I wake tomorrow
From this nightmare?","GROUP #3
Will I lose my dignity
Will someone care
Will I wake tomorrow
From this nightmare?","GROUP #4
Will I lose my dignity
Will someone care
Will I wake tomorrow
From this nightmare?",(ROGER puts on his jacket and exits the loft),ON THE STREET,"ROGER
Over here
Oh, God ",1
84,"THREE HOMELESS PEOPLE
Christmas bells are ringing
Christmas bells are ringing
Christmas bells are ringing
Out of town
Santa Fe","SQUEEGEEMAN
Honest living, man",(He recoils as though he's almost been run over by a car),Feliz Navidad,"GROUP #1
Will I lose my dignity
Will someone care
Will I wake tomorrow
From this nightmare?","(Three POLICE OFFICERS, in full riot gear, enter and approach
sleeping BLANKET PERSON - The FIRST OFFICER pokes her with a
nightstick)",2
85,"HOMELESS PERSON
Evening, officers","(Without answering, the FIRST OFFICER raises his nightstick again)","MARK (pointing his camera)
Smile for Ted Koppel, Officer Martin",(The FIRST OFFICER lowers his stick),"ROGER
Who are you to tell me what I know, what to do","HOMELESS PERSON
And a Merry Christmas to your family",2
86,"POLICE OFFICERS
Right","(The POLICE OFFICERS stride offstage. MARK continues to film
BLANKET PERSON)","BLANKET PERSON (To MARK)
Who the fuck do you think you are?
I don't need no goddamn help
From some bleeding heart cameraman
My life's not for you to
Make a name for yourself on","ANGEL
Easy, sugar, easy
He was just trying to","COLLINS
I'll cover you","BLANKET PERSON
Just trying to use me to kill his guilt
It's not that kind of movie, honey
Let's go this lot is full of
Motherfucking artists
Hey artist
You gotta dollar?
I thought not",2
87,"(BLANKET PERSON crosses to downstage left with another
HOMELESS PERSON)",SANTA FE ,(The Street),"ANGEL
New York City ","MARK
Uh huh","STEVE
Will I lose my dignity
Will someone care
Will I wake tomorrow
From this nightmare?",1
88,"ANGEL
Center of the universe","COLLINS
Sing it girl-","ANGEL
Times are shitty
But I'm pretty sure they can't get worse","MARK
I hear you","ANGEL
It's a comfort to know
When you're singing the hit-the-road blues
That anywhere else you could possibly go
After New York would be a pleasure cruise",(ROGER stoops and picks up a small object: MIMI's stash),1
89,"COLLINS
Now you're talking
Well, I'm thwarted by a metaphysic puzzle
And I'm sick of grading papers that I know
And I'm shouting in my sleep, I need a muzzle
All this misery pays no salary, so
Let's open up a restaurant in Santa Fe
Oh sunny Santa Fe would be nice
Let's open up a restaurant in Santa Fe
And leave this to the roaches and mice
Oh-oh","ALL
Oh","ANGEL
You teach?","COLLINS
I teach , Computer Age Philosophy
But my students would rather watch TV","BENNY
Don't you think that we should discuss-","ANGEL
America",2
90,"ALL
America","COLLINS
You're a sensitive aesthete
Brush the sauce onto the meat
You could make the menu sparkle with rhyme
You could drum a gentle drum
I could seat guests as they come
Chatting not about Heidegger, but wine",(with HOMELESS PEOPLE in the shadows),"Let's open up a restaurant in Santa Fe
Our labors would reap financial gains","ALL
Gains, gains, gains","(MIMI enters, holding a candle and looking for a match; her electricity is
down, too)",1
91,"COLLINS
We'll open up a restaurant in Santa Fe
And save from devastation our brains","HOMELESS
Save our brains","ALL
We'll pack up all our junk and fly so far away
Devote ourselves to projects that sell
We'll open up a restaurant in Santa Fe
Forget this cold Bohemian hell
Oh
Oh","COLLINS
Do you know the way to Santa Fe?
You know, tumbleweeds...prairie dogs...
Yeah",I'LL COVER YOU ,"MAUREEN
To me",1
92,"MARK
I'll meet you at the show
I'll try and convince Roger to go",(MARK exits),"ANGEL
Alone at last","COLLINS
He'll be back, I guarantee","COMPANY
In diapers report cards
In spoke wheels in speeding tickets
In contracts dollars
In funerals in births
In five hundred twenty-five thousand six hundred minutes
How do you figure
A last year on earth?
Figure in love
Figure in love
Figure in love
Measure in love
Seasons of love
Seasons of love","ANGEL
I've been hearing violins all night",2
93,"COLLINS
Anything to do with me? Are we a thing?","ANGEL
Darling... we're everything!
Live in my house
I'll be your shelter
Just pay me back
With one thousand kisses
Be my lover I'll cover you","COLLINS
Open your door
I'll be your tenant
Don't got much baggage
To lay at your feet
But sweet kisses I've got to spare
I'll be there- I'll cover you","BOTH
I think they meant it
When they said you can't buy love
Now I know you can rent it
A new lease you are, my love,
On life be my life",(They do a short dance),"MARK
Tear down the wall
Aren't we all?
The opposite of war isn't peace
It's creation",1
94,"Just slip me on
I'll be your tenant
Wherever whatever I'll be your coat","ANGEL
You'll be my king
And I'll be your castle","COLLINS
No you'll be my queen
And I'll be your moat","BOTH
I think they meant it
When they said you can't buy love
Now I know you can rent it
A new lease you are, my love,
On life all my life
I've longed to discover
Something as true as this is","COLLINS
So with a thousand sweet kisses
I'll cover you
With a thousand sweet kisses
I'll cover you","COLLINS
I'm afraid she needs more than heat",1
95,"ANGEL
If you're cold
And you're lonely
You've got one nickel only
With a thousand sweet kisses
I'll cover you
With a thousand sweet kisses
I'll cover you","COLLINS
When you're worn out
And tired
When your heart has expired","BOTH
Oh lover I'll cover you
Oh lover I'll cover you",WE'RE OKAY,"JOANNE
(on cellular phone)
Steve Joanne
The Murget case?
A dismissal
Good work counselor","MAUREEN
Collins will call for a doctor, honey",1
96,"(The pay phone rings. JOANNE answers it and begins a conversation
with MAUREEN simultaneously juggling two other calls on her cellular
phone)","We're okay
Honeybear wait!
I'm on the other phone
Yes, I have the cowbell
We're okay",(into cellular phone),"So tell them we'll sue
But a settlement will do
Sexual harassment and civil rights too
Steve, you're great",(into pay phone),(The following is sung simultaneously.),1
97,"No you cut the paper plate
Didja cheat on Mark a lot would you say?
We're okay
Honey hold on",(into cellular phone),"Steve, hold on",(JOANNE presses the call-waiting button on the cellular phone),"THE MAN
Well, well, well. What have we here?","Hello?
Dad - yes
I beeped you
Maureen is coming to Mother's hearing
We're okay",2
98,(into pay phone),"Honeybear - what?
Newt's lesbian sister
I'll tell them",(into cellular phone),You heard?,(MIMI fades),(into pay phone),2
99,"They heard
We're okay","(into cellular phone)
And to you dad",(JOANNE presses the call-waiting as she speaks into the pay phone),Yes - Jill is there?,"ROGER
I once was born to be bad
I used to shiver like that",(into cellular phone),2
100,Steve gotta-,(into pay phone),"Jill with the short black hair?
The Calvin Klein model?",(into cellular phone),"ANGEL
But she brought us together","Steve, gotta go",2
101,(into pay phone),"The model who lives in Penthouse A?
We're
We're okay
I'm on my way","CHRISTMAS BELLS (Various locations, St. Marks Place) ","FIVE HOMELESS PEOPLE
Christmas bells are ringing
Christmas bells are ringing
Christmas bells are singing
On TV - at Saks","SQUEEGEEMAN
Honest living, honest living
Honest living, honest living
Honest living, honest living","BOTH
Without you",1
102,"ALL FIVE HOMELESS
Can't you spare a dime or two
Here but for the grace of God go you
You'll be merry
I'll be merry
Tho merry ain't in my vocabulary
No sleighbells
No Santa Claus
No yule log
No tinsel
No holly
No hearth
No","SOLOIST
Rudolph the red nosed reindeer","ALL FIVE
Rudolph the red nosed reindeer
No room at the Holiday Inn oh no",(A few flakes of snow begin to descend),And it's beginning to snow,"BENNY
Mimi since your was are so seductive",1
103,"(The stage suddenly explodes with life. The scene is St. Mark's Place on
Christmas Eve -- an open-air bazaar of color, noise, and movement)","VENDORS
Hats, bats, shoes, booze
Mountain bikes, potpourri
Leather bags, girlie mags
Forty-fives, AZT","VENDOR #1
No one's buying
Feel like crying","ALL
No room at the Holiday Inn, oh no
And it's beginning to snow","MAUREEN
Are we packed?","(Lights up on one woman, who is showing off a collection of stolen coats
to COLLINS and ANGEL)",2
104,"VENDOR #2
How about a fur
In perfect shape
Owned by an MBA from uptown
I got a tweed
Broken in by a greedy
Broker who went broke
And then broke down","COLLINS
You don't have to do this","ANGEL
Hush your mouth, it's Christmas","COLLINS
I do not deserve you, Angel
Give-give
All you do
Is give
Give me some way to show
How much you've touched me so",(ROGER grabs one of his own posters),"ANGEL
Wait--what's on the floor?
Let's see some more
No-no-no
Kiss me - it's beginning to snow",2
105,(Lights focus on MARK and ROGER on right above),"MARK
She said, ""Would you light my candle?""
And she put on a pout
And she wanted you
To take her out tonight?","ROGER
Right","MARK
She got you out!","ROGER
She was more than okay
But I pushed her away
It was bad I got mad
And I had to get her out of my sight","ALL
Viva la vie Boheme",1
106,"MARK
Wait, wait, wait you said she was sweet","ROGER
Let's go eat - I'll just get fat
It's the one vice left when you're dead meat",(MIMI has entered looking furtively for THE MAN),There - that's her,"MARK & ROGER
Let's
Go
To
The lot Maureen's performing","MARK
Maureen?",2
107,"ROGER
Mimi","MARK
Whoa","ROGER
I should go","MARK
Hey - it's beginning to snow","PASTOR
Thomas B. Collins","(The POLICE OFFICERS, in riot gear, enter above)",2
